epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9124,2.07931,4.20724,2.04864,0.00129,0.2,0.0012,0.0005,2.39864,4.39611,1.80768,0.0982,0.0002,0.0002
2,24.1881,1.88995,3.86228,1.96007,0.00131,0.2,0.00175,0.0007,2.29409,4.32734,1.80475,0.0954994,0.000499438,0.000499438
3,38.4517,1.95166,3.83326,1.99855,0.00146,0.2,0.00173,0.00059,2.19915,4.34696,1.79636,0.0927982,0.0007982,0.0007982
4,48.6924,1.65227,3.98654,1.74909,0.00136,0.26667,0.00217,0.00098,2.18503,4.55995,1.84038,0.0900963,0.00109629,0.00109629
5,64.8398,1.67919,3.83848,1.71676,0.00195,0.43333,0.00379,0.00155,2.10209,4.53046,1.92001,0.0873937,0.0013937,0.0013937
6,76.2462,1.68596,3.63629,1.80193,0.00197,0.43333,0.00669,0.00314,2.00986,4.43521,1.91293,0.0846904,0.00169044,0.00169044
7,87.6672,1.53335,3.57122,1.78842,0.00288,0.53333,0.01007,0.00501,2.07521,4.37959,1.87233,0.0819865,0.0019865,0.0019865
8,99.7956,1.39006,3.52648,1.62911,0.00196,0.43333,0.01223,0.00584,2.08281,4.37903,1.81491,0.0792819,0.00228189,0.00228189
9,111.832,1.70012,3.89851,1.80703,0.00078,0.1,0.03282,0.01969,2.10716,4.52104,1.88438,0.0765766,0.0025766,0.0025766
10,124.443,1.56183,3.60887,1.64475,0.0008,0.1,0.04907,0.02944,1.96371,4.49706,1.8672,0.0738706,0.00287064,0.00287064
11,136.191,1.55699,3.4786,1.5772,0.00194,0.43333,0.05179,0.03026,1.8724,4.37717,1.74721,0.071164,0.003164,0.003164
12,148.105,1.40252,3.46563,1.5539,0.00138,0.26667,0.05018,0.02982,1.89803,4.34588,1.71488,0.0684567,0.00345669,0.00345669
13,171.358,1.20993,3.37696,1.45893,0.00142,0.26667,0.09843,0.04989,2.01007,4.51205,1.84178,0.0657487,0.0037487,0.0037487
