epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,46.0246,1.76849,2.68791,1.30193,0.00402,0.8,0.00445,0.00197,2.32851,4.78166,1.91147,0.000655728,0.000655728,0.000655728
43,47.1275,1.64584,1.92585,1.28879,0.00262,0.46667,0.00294,0.00143,2.59922,4.82611,2.17431,0.000671028,0.000671028,0.000671028
44,48.2033,1.41472,1.85445,1.30615,0.00262,0.46667,0.00294,0.00143,2.59922,4.82611,2.17431,0.000686295,0.000686295,0.000686295
45,49.3002,2.06364,1.91907,1.26043,0.00201,0.36667,0.00195,0.00096,2.52724,4.6669,2.19476,0.00070153,0.00070153,0.00070153
46,50.4031,2.23869,1.90937,1.11395,0.00201,0.36667,0.00195,0.00096,2.52724,4.6669,2.19476,0.000716731,0.000716731,0.000716731
47,51.5894,1.5624,1.63578,1.21804,0.00285,0.46667,0.00318,0.00171,2.40536,4.60117,2.11293,0.000731899,0.000731899,0.000731899
48,52.6838,1.45705,1.60487,1.0596,0.00285,0.46667,0.00318,0.00171,2.40536,4.60117,2.11293,0.000747034,0.000747034,0.000747034
49,53.7911,1.01324,1.83474,1.15447,0.00293,0.46667,0.0071,0.00455,2.31733,4.54725,2.08075,0.000762136,0.000762136,0.000762136
50,54.8863,1.38382,1.63218,1.08597,0.00293,0.46667,0.0071,0.00455,2.31733,4.54725,2.08075,0.000777206,0.000777206,0.000777206
51,55.9205,1.5515,1.5777,1.10772,0.00288,0.46667,0.00295,0.00155,2.29259,4.46303,1.94562,0.000792242,0.000792242,0.000792242
52,56.937,1.19666,1.74754,1.14007,0.00288,0.46667,0.00295,0.00155,2.29259,4.46303,1.94562,0.000807245,0.000807245,0.000807245
53,58.0017,1.52488,1.71342,1.09843,0.00288,0.46667,0.00295,0.00155,2.29259,4.46303,1.94562,0.000822215,0.000822215,0.000822215
54,59.1376,1.48037,1.80123,1.21038,0.00352,0.63333,0.00392,0.00191,2.3341,4.43015,1.84278,0.000837152,0.000837152,0.000837152
55,60.2263,1.71951,2.22888,1.12401,0.00352,0.63333,0.00392,0.00191,2.3341,4.43015,1.84278,0.000852056,0.000852056,0.000852056
