epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3601,2.1643,3.90916,2.26287,0.00134,0.2,0.0012,0.0005,2.41475,4.40999,1.78462,0.0982,0.0002,0.0002
2,22.0912,1.97071,4.14373,2.14764,0.00142,0.2,0.00119,0.00054,2.38931,4.34372,1.76527,0.0954994,0.000499438,0.000499438
3,33.0799,1.98322,3.88945,1.93106,0.00148,0.2,0.0015,0.0007,2.25024,4.34298,1.7245,0.0927982,0.0007982,0.0007982
4,43.8814,1.78154,3.96974,1.74572,0.00137,0.26667,0.00206,0.00069,2.20385,4.37149,1.74544,0.0900963,0.00109629,0.00109629
5,55.1848,1.54306,3.73162,1.5996,0.00144,0.26667,0.00432,0.00095,2.09995,4.44875,1.82039,0.0873937,0.0013937,0.0013937
6,66.1566,1.45106,3.61819,1.63255,0.00095,0.1,0.0058,0.00232,2.00324,4.57721,1.98553,0.0846904,0.00169044,0.00169044
7,76.7978,1.6296,3.72313,1.68578,0.00096,0.1,0.00201,0.00109,2.06078,4.55277,1.97482,0.0819865,0.0019865,0.0019865
8,86.9416,1.60699,3.61556,1.82952,0.00094,0.1,0.00151,0.0009,1.93252,4.57799,1.87175,0.0792819,0.00228189,0.00228189
9,97.2311,1.37311,3.57968,1.717,0.00149,0.26667,0.00168,0.00074,2.05319,4.63278,1.8934,0.0765766,0.0025766,0.0025766
10,107.868,1.22353,3.62474,1.60259,0.0015,0.26667,0.00154,0.00068,2.12243,4.63951,1.99343,0.0738706,0.00287064,0.00287064
11,117.954,1.21158,3.40068,1.56163,0.00151,0.26667,0.00145,0.00069,2.22386,4.63264,1.96025,0.071164,0.003164,0.003164
12,128.471,1.30059,3.3621,1.54771,0.00152,0.26667,0.00158,0.0009,2.02142,4.48221,1.8649,0.0684567,0.00345669,0.00345669
13,138.595,1.34927,3.55277,1.48787,0.0015,0.26667,0.00369,0.00153,2.05053,4.47452,1.77711,0.0657487,0.0037487,0.0037487
14,149.285,1.57094,3.40892,1.6276,0.00143,0.26667,0.00388,0.00203,2.14153,4.47678,1.78869,0.06304,0.00404004,0.00404004
15,160.652,1.19035,3.31648,1.38372,0.0014,0.26667,0.01762,0.00508,2.13375,4.47331,1.89193,0.0603307,0.0043307,0.0043307
16,171.645,1.36049,3.30956,1.42721,0.00138,0.26667,0.00358,0.0012,2.33406,4.58167,1.8712,0.0576207,0.00462069,0.00462069
17,182.814,1.23904,3.20898,1.43257,0.0022,0.36667,0.00353,0.00176,2.45485,4.4498,1.88855,0.05491,0.00491,0.00491
18,193.648,1.21402,3.04113,1.45144,0.00356,0.63333,0.01478,0.00642,2.19026,4.37454,1.72675,0.0521986,0.00519864,0.00519864
19,204.817,1.24324,3.0774,1.40646,0.0036,0.63333,0.03515,0.01291,1.91997,4.36435,1.64395,0.0494866,0.0054866,0.0054866
20,215.618,1.36207,3.13636,1.47171,0.00139,0.26667,0.03333,0.00745,2.12162,4.44779,1.73669,0.0467739,0.00577389,0.00577389
21,226.623,1.25814,3.04565,1.48446,0.00234,0.36667,0.01226,0.00336,2.37488,4.61023,1.98774,0.0440605,0.0060605,0.0060605
22,237.044,1.24097,2.86687,1.38708,0.00274,0.53333,0.02632,0.00648,1.99712,4.32556,1.67318,0.0413464,0.00634644,0.00634644
23,247.562,1.15767,2.6774,1.39601,0.00277,0.53333,0.03451,0.00821,1.86106,4.36865,1.66362,0.0386317,0.0066317,0.0066317
24,258.869,1.27667,2.60491,1.41368,0.00365,0.63333,0.0063,0.00275,2.25969,4.44535,2.10273,0.0359163,0.00691629,0.00691629
25,270.326,1.19498,2.53079,1.31894,0.00249,0.36667,0.00435,0.00139,2.47679,4.44652,2.00552,0.0332002,0.0072002,0.0072002
26,280.925,1.28178,2.60022,1.48048,0.00328,0.46667,0.13601,0.02999,2.25552,4.2003,1.92526,0.0304834,0.00748344,0.00748344
27,291.595,1.39631,2.7318,1.52377,0.00321,0.46667,0.25045,0.05793,2.46306,4.22226,2.1283,0.027766,0.007766,0.007766
28,302.962,1.20977,2.36722,1.40502,0.00283,0.36667,0.18669,0.02527,2.20863,4.29754,2.11818,0.0250479,0.00804789,0.00804789
29,314.026,1.31868,2.39604,1.41978,0.00283,0.36667,0.18669,0.02527,2.20863,4.29754,2.11818,0.0223291,0.0083291,0.0083291
30,325.05,1.30215,2.35874,1.36868,0.00375,0.46667,0.11771,0.03857,2.14311,4.2215,1.97038,0.0196096,0.00860964,0.00860964
31,336.196,1.03317,2.2156,1.2528,0.00233,0.36667,0.03112,0.00679,2.33829,4.93448,2.30329,0.0168895,0.0088895,0.0088895
32,346.887,1.26024,2.26005,1.32859,0.00294,0.46667,0.10489,0.02645,2.40354,4.29347,1.9458,0.0141687,0.00916869,0.00916869
33,356.977,1.19519,2.27509,1.28078,0.00294,0.46667,0.10489,0.02645,2.40354,4.29347,1.9458,0.0114472,0.0094472,0.0094472
34,367.435,1.15751,2.36698,1.2743,0.02606,0.36667,0.13424,0.04671,2.45112,4.34532,2.48025,0.00962875,0.00962875,0.00962875
35,377.52,1.33274,2.45822,1.38321,0.10119,0.1,0.09841,0.02632,2.68705,4.59526,2.67705,0.0096175,0.0096175,0.0096175
36,388.734,1.15664,2.17672,1.23058,0.339,0.1,0.1187,0.05782,2.33275,4.35745,2.17916,0.00960625,0.00960625,0.00960625
37,400.654,1.31013,2.26712,1.38482,0.339,0.1,0.1187,0.05782,2.33275,4.35745,2.17916,0.009595,0.009595,0.009595
38,411.583,1.24107,2.03652,1.34643,0.15854,0.1,0.05166,0.01432,2.5687,5.2209,2.34337,0.00958375,0.00958375,0.00958375
39,422.155,1.26609,2.29509,1.23765,0.00356,0.63333,0.01331,0.00461,2.44621,4.37007,2.0793,0.0095725,0.0095725,0.0095725
40,433.33,1.18062,2.19454,1.40121,0.07253,0.1,0.02647,0.01023,2.48138,4.03444,2.24948,0.00956125,0.00956125,0.00956125
41,444.091,1.19547,2.28004,1.32307,0.07253,0.1,0.02647,0.01023,2.48138,4.03444,2.24948,0.00955,0.00955,0.00955
42,455.372,1.20947,1.92734,1.27996,0.30968,0.46667,0.2473,0.06501,2.35651,3.8129,2.14388,0.00953875,0.00953875,0.00953875
43,466.067,1.18463,1.97243,1.29023,0.073,0.2,0.05674,0.02872,2.4823,4.2422,2.28891,0.0095275,0.0095275,0.0095275
44,476.091,1.18559,2.13221,1.36117,0.23795,0.1,0.10526,0.02535,2.71867,5.11721,2.66763,0.00951625,0.00951625,0.00951625
45,486.126,1.15979,1.95492,1.26697,0.23795,0.1,0.10526,0.02535,2.71867,5.11721,2.66763,0.009505,0.009505,0.009505
