epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4211,1.96006,7.47565,1.98667,0.00405,0.26984,0.00617,0.0026,2.72976,9.22628,2.68157,0.0982,0.0002,0.0002
2,57.4757,2.04259,6.64763,2.08727,0.00462,0.3254,0.01093,0.0045,2.62909,6.65139,2.65189,0.0954994,0.000499438,0.000499438
3,82.9498,1.93829,4.84065,1.99366,0.11148,0.07143,0.04378,0.01758,2.34302,5.18597,2.52634,0.0927982,0.0007982,0.0007982
4,107.53,1.88924,3.88392,1.973,0.32432,0.12698,0.11692,0.05651,2.18277,4.32978,2.42573,0.0900963,0.00109629,0.00109629
5,133.143,1.76808,3.20249,1.85322,0.53121,0.18254,0.14855,0.07145,2.07627,4.03103,2.26296,0.0873937,0.0013937,0.0013937
6,163.199,1.77975,2.90095,1.88452,0.34981,0.2381,0.30775,0.15059,1.9883,3.50657,2.20901,0.0846904,0.00169044,0.00169044
7,190.405,1.70048,2.40477,1.73846,0.60402,0.35475,0.33767,0.14895,2.03011,3.47102,2.23999,0.0819865,0.0019865,0.0019865
8,218.519,1.50081,2.39957,1.63168,0.62336,0.37528,0.35206,0.14337,2.0559,3.88582,2.08833,0.0792819,0.00228189,0.00228189
9,246.487,1.68705,2.10322,1.70582,0.62579,0.31195,0.36836,0.18013,1.93483,3.60056,2.03973,0.0765766,0.0025766,0.0025766
10,274.504,1.45065,1.81661,1.54655,0.58093,0.39683,0.4398,0.22215,1.88686,3.12941,1.99194,0.0738706,0.00287064,0.00287064
11,307.302,1.45199,1.76137,1.45308,0.87711,0.39683,0.53758,0.29517,1.7979,3.24391,1.97325,0.071164,0.003164,0.003164
12,337.97,1.27527,1.56904,1.35502,0.73658,0.56349,0.59325,0.31946,1.81605,2.51973,1.94825,0.0684567,0.00345669,0.00345669
13,366.235,1.44771,1.44746,1.483,0.72624,0.41006,0.47314,0.25497,1.88012,2.36054,1.97672,0.0657487,0.0037487,0.0037487
14,394.57,1.40695,1.54684,1.4535,0.92509,0.36508,0.45712,0.20863,1.73189,2.27809,1.85982,0.06304,0.00404004,0.00404004
15,423.771,1.34,1.34988,1.41354,0.5785,0.47883,0.46294,0.28023,1.63816,2.35646,1.73173,0.0603307,0.0043307,0.0043307
16,451.629,1.34102,1.31176,1.40185,0.64056,0.59724,0.58489,0.29624,1.65868,1.91171,1.72109,0.0576207,0.00462069,0.00462069
17,479.697,1.25307,1.14401,1.27016,0.94407,0.47482,0.6769,0.37121,1.5898,1.65589,1.77032,0.05491,0.00491,0.00491
18,507.944,1.0883,1.04217,1.18854,0.67384,0.5503,0.64218,0.28391,1.68342,1.6931,1.74218,0.0521986,0.00519864,0.00519864
19,538.637,1.12282,1.06269,1.26014,0.79657,0.63492,0.70595,0.32582,1.71103,1.70782,1.79607,0.0494866,0.0054866,0.0054866
20,568.204,1.11973,1.01681,1.23629,0.81467,0.65079,0.72681,0.432,1.63057,1.5252,1.81042,0.0467739,0.00577389,0.00577389
21,596.529,1.24783,0.89719,1.25312,0.87563,0.57515,0.62443,0.31848,1.65609,1.64976,1.70862,0.0440605,0.0060605,0.0060605
22,624.835,1.15025,1.03407,1.22971,0.59138,0.61905,0.59837,0.34048,1.7976,1.53399,1.72995,0.0413464,0.00634644,0.00634644
23,652.842,1.05116,0.86801,1.20217,0.798,0.48895,0.55776,0.3368,1.7422,1.88003,1.73436,0.0386317,0.0066317,0.0066317
24,681.208,1.15033,0.96373,1.21722,0.80183,0.54762,0.49814,0.26563,1.82612,2.11118,1.82921,0.0359163,0.00691629,0.00691629
25,711.034,1.22249,1.10661,1.25337,0.88409,0.61905,0.66,0.38423,1.65821,1.55099,1.60263,0.0332002,0.0072002,0.0072002
26,741.067,1.07914,0.97503,1.22908,0.60303,0.57289,0.62586,0.36837,1.54396,1.67478,1.58069,0.0304834,0.00748344,0.00748344
27,770.83,1.20107,1.06344,1.24851,0.67077,0.30764,0.38731,0.22651,1.76284,2.3098,1.68636,0.027766,0.007766,0.007766
28,798.919,1.15283,1.06094,1.27541,0.70364,0.40255,0.46823,0.27027,1.74027,2.40926,1.65605,0.0250479,0.00804789,0.00804789
29,825.708,1.08439,1.16879,1.17849,0.70364,0.40255,0.46823,0.27027,1.74027,2.40926,1.65605,0.0223291,0.0083291,0.0083291
30,853.254,1.15786,1.15546,1.19233,0.79206,0.21524,0.35984,0.19666,1.89016,3.01494,1.88417,0.0196096,0.00860964,0.00860964
31,880.488,1.1249,1.08761,1.18293,0.29723,0.11191,0.17186,0.07509,2.21191,3.58522,2.177,0.0168895,0.0088895,0.0088895
32,906.931,1.19526,1.05381,1.26989,0.96843,0.07143,0.18467,0.08717,2.46361,3.39395,2.50096,0.0141687,0.00916869,0.00916869
33,933.74,1.24454,1.0606,1.25839,0.96843,0.07143,0.18467,0.08717,2.46361,3.39395,2.50096,0.0114472,0.0094472,0.0094472
34,959.819,1.17844,1.26603,1.20719,0.59887,0.2381,0.2383,0.12057,2.61275,3.11092,2.57758,0.00962875,0.00962875,0.00962875
35,988.316,1.13425,1.09219,1.18028,0.64249,0.43651,0.41131,0.23478,1.96801,2.39186,1.98411,0.0096175,0.0096175,0.0096175
36,1016.29,1.08352,1.03742,1.20563,0.66884,0.31264,0.38005,0.24902,1.7746,2.88526,1.71125,0.00960625,0.00960625,0.00960625
37,1043.69,1.1474,1.07365,1.24178,0.66884,0.31264,0.38005,0.24902,1.7746,2.88526,1.71125,0.009595,0.009595,0.009595
38,1070.63,1.14051,1.00278,1.20431,0.34823,0.33733,0.33622,0.2194,1.61573,2.34332,1.71493,0.00958375,0.00958375,0.00958375
39,1098.35,1.03228,0.97672,1.18561,0.8204,0.22222,0.43573,0.28048,1.5794,2.35983,1.71057,0.0095725,0.0095725,0.0095725
40,1125.45,1.02306,1.0446,1.1177,0.42381,0.35664,0.31336,0.19911,2.15833,2.16816,2.11724,0.00956125,0.00956125,0.00956125
41,1153.33,1.20197,1.15119,1.20504,0.42381,0.35664,0.31336,0.19911,2.15833,2.16816,2.11724,0.00955,0.00955,0.00955
42,1181.71,1.12898,0.99753,1.23222,0.46028,0.39267,0.42496,0.29041,1.6686,1.94661,1.77085,0.00953875,0.00953875,0.00953875
43,1215.12,1.0505,1.02115,1.18505,0.90006,0.29365,0.392,0.25722,1.83686,2.00419,1.90303,0.0095275,0.0095275,0.0095275
44,1243.65,1.10046,1.06988,1.22747,0.48862,0.43651,0.43349,0.25077,1.86571,2.4431,1.69336,0.00951625,0.00951625,0.00951625
45,1272.64,1.12799,1.07984,1.19069,0.48862,0.43651,0.43349,0.25077,1.86571,2.4431,1.69336,0.009505,0.009505,0.009505
46,1302.77,0.98615,0.98261,1.13918,0.78192,0.43651,0.46675,0.3062,1.69916,2.3028,1.8106,0.00949375,0.00949375,0.00949375
47,1331.7,1.14577,0.98183,1.23402,0.63571,0.34061,0.41804,0.29197,1.92392,2.51412,2.32201,0.0094825,0.0094825,0.0094825
