epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9837,0.98171,0.92799,1.45029,0.91886,0.3,0.39679,0.31769,1.60658,2.79215,1.63492,0.0982,0.0002,0.0002
2,24.4857,1.11519,1.11081,1.53682,0.92426,0.3,0.39639,0.3328,1.62006,2.76973,1.63004,0.0954994,0.000499438,0.000499438
3,35.8504,1.32464,1.07873,1.67309,0.9261,0.3,0.39388,0.33577,1.60841,2.68708,1.63137,0.0927982,0.0007982,0.0007982
4,47.0071,0.90918,0.93812,1.35789,0.926,0.3,0.39028,0.31562,1.54732,2.62712,1.62595,0.0900963,0.00109629,0.00109629
5,58.398,1.02025,1.05396,1.44163,0.94695,0.31043,0.42424,0.35054,1.44416,2.61773,1.55933,0.0873937,0.0013937,0.0013937
6,70.3039,1.21393,1.09348,1.52911,0.91199,0.3,0.38797,0.32735,1.38266,2.51999,1.4919,0.0846904,0.00169044,0.00169044
7,83.0455,0.93944,0.95584,1.35434,0.87498,0.3,0.39251,0.31857,1.44929,2.54701,1.50252,0.0819865,0.0019865,0.0019865
8,96.8528,1.12265,1.00164,1.49228,0.84054,0.3,0.39402,0.32621,1.40911,2.49931,1.46312,0.0792819,0.00228189,0.00228189
9,112.792,0.95371,0.97021,1.33889,0.51812,0.39683,0.39601,0.31454,1.44684,2.45361,1.43299,0.0765766,0.0025766,0.0025766
10,129.802,1.15581,1.19787,1.49072,0.5206,0.39526,0.39111,0.31446,1.3788,2.52788,1.43045,0.0738706,0.00287064,0.00287064
11,146.319,1.14244,0.97096,1.41722,0.67214,0.3,0.3537,0.3133,1.29294,2.3957,1.43564,0.071164,0.003164,0.003164
12,163.225,1.16943,0.86834,1.48065,0.76224,0.3,0.35901,0.29132,1.38269,2.4078,1.51113,0.0684567,0.00345669,0.00345669
13,182.142,1.14653,0.93795,1.53453,0.70783,0.3,0.37247,0.31728,1.42311,2.37357,1.56086,0.0657487,0.0037487,0.0037487
14,200.792,1.24097,0.92397,1.46401,0.71154,0.3,0.37397,0.32272,1.39862,2.3166,1.597,0.06304,0.00404004,0.00404004
15,216.415,0.85705,0.87302,1.24385,0.72506,0.3,0.38718,0.31001,1.55398,2.22447,1.65262,0.0603307,0.0043307,0.0043307
16,232.12,0.94828,0.77488,1.25557,0.81528,0.3,0.39008,0.30755,1.53588,2.12174,1.66503,0.0576207,0.00462069,0.00462069
17,250.303,0.91451,0.7825,1.25744,0.89189,0.3,0.38239,0.3058,1.64954,2.05417,1.68896,0.05491,0.00491,0.00491
18,266.366,0.93567,0.7983,1.31589,0.92965,0.3,0.40911,0.32722,1.6596,2.00199,1.73073,0.0521986,0.00519864,0.00519864
19,282.824,0.84416,0.73726,1.14454,0.88228,0.3,0.41145,0.2853,1.61705,2.03341,1.63349,0.0494866,0.0054866,0.0054866
20,297.304,1.01175,0.79478,1.28565,0.68718,0.39135,0.44393,0.33048,1.63103,2.13597,1.57305,0.0467739,0.00577389,0.00577389
21,311.756,0.87346,0.69282,1.13646,0.65296,0.39421,0.44151,0.36606,1.36021,1.8905,1.438,0.0440605,0.0060605,0.0060605
22,329.392,0.9611,0.75012,1.22352,0.71343,0.3939,0.45817,0.34966,1.44722,1.94762,1.49854,0.0413464,0.00634644,0.00634644
23,348.886,0.70753,0.61802,1.10854,0.83436,0.4,0.46651,0.34524,1.55309,2.10615,1.51058,0.0386317,0.0066317,0.0066317
24,365.691,0.93678,0.73853,1.17363,0.92089,0.4,0.49761,0.3696,1.56662,2.14695,1.54513,0.0359163,0.00691629,0.00691629
25,381.802,0.94502,0.83097,1.2079,0.88961,0.4,0.50296,0.36654,1.48064,2.17771,1.52603,0.0332002,0.0072002,0.0072002
26,398.623,0.81627,0.65003,1.17679,0.88642,0.4,0.50309,0.38067,1.47186,2.30943,1.50605,0.0304834,0.00748344,0.00748344
27,413.927,0.8171,0.6598,1.10437,0.79788,0.39616,0.50092,0.34569,1.47894,2.523,1.42357,0.027766,0.007766,0.007766
28,429.357,0.98045,0.81735,1.21158,0.65841,0.58162,0.51478,0.35077,1.4262,2.26402,1.42272,0.0250479,0.00804789,0.00804789
29,446.232,0.88156,0.75862,1.15688,0.65841,0.58162,0.51478,0.35077,1.4262,2.26402,1.42272,0.0223291,0.0083291,0.0083291
30,461.951,0.73739,0.59126,1.01242,0.91649,0.3,0.463,0.32106,1.61437,2.36329,1.48529,0.0196096,0.00860964,0.00860964
31,477.901,0.86606,0.68536,1.09798,0.51974,0.39125,0.42192,0.30584,1.58316,2.2576,1.61265,0.0168895,0.0088895,0.0088895
32,493.121,0.80998,0.65495,1.05861,0.55547,0.39523,0.40205,0.22807,1.90937,2.58705,1.73894,0.0141687,0.00916869,0.00916869
33,508.678,0.82446,0.6758,1.0479,0.55547,0.39523,0.40205,0.22807,1.90937,2.58705,1.73894,0.0114472,0.0094472,0.0094472
34,523.279,0.90027,0.7146,1.10856,0.78265,0.29597,0.37675,0.28579,1.75941,2.51767,1.72054,0.00962875,0.00962875,0.00962875
35,537.678,0.76387,0.6191,1.0063,0.75295,0.38967,0.44518,0.31225,1.85808,2.40781,1.72619,0.0096175,0.0096175,0.0096175
36,553.12,0.76013,0.59651,1.02811,0.71238,0.3873,0.45099,0.34552,1.64508,2.34968,1.68197,0.00960625,0.00960625,0.00960625
37,568.697,0.79611,0.70747,1.06012,0.71238,0.3873,0.45099,0.34552,1.64508,2.34968,1.68197,0.009595,0.009595,0.009595
38,583.501,0.77289,0.61382,1.0537,0.5928,0.47092,0.40883,0.30569,2.00116,2.86361,1.93494,0.00958375,0.00958375,0.00958375
39,598.99,0.86495,0.76087,1.0762,0.80897,0.39596,0.46927,0.3684,1.63506,2.42343,1.65667,0.0095725,0.0095725,0.0095725
40,613.168,0.64078,0.60177,1.02073,0.77076,0.39293,0.47007,0.38933,1.7343,2.5847,1.75872,0.00956125,0.00956125,0.00956125
41,627.335,0.78219,0.62985,1.03791,0.77076,0.39293,0.47007,0.38933,1.7343,2.5847,1.75872,0.00955,0.00955,0.00955
42,641.884,0.78232,0.64256,1.00403,0.78146,0.38329,0.4132,0.28537,2.19155,3.00639,1.92937,0.00953875,0.00953875,0.00953875
43,657.136,0.91293,0.69868,1.12808,0.66426,0.41938,0.45221,0.32786,1.95638,2.74696,2.02452,0.0095275,0.0095275,0.0095275
44,673.048,0.77368,0.64092,1.05256,0.4945,0.4,0.32852,0.25234,2.31669,3.27108,2.22323,0.00951625,0.00951625,0.00951625
45,687.453,0.81876,0.72851,1.08728,0.4945,0.4,0.32852,0.25234,2.31669,3.27108,2.22323,0.009505,0.009505,0.009505
46,701.939,0.74348,0.64347,1.04283,0.54628,0.4,0.40945,0.25618,1.88209,2.70957,1.92528,0.00949375,0.00949375,0.00949375
47,717.077,0.83923,0.6669,1.06849,0.93153,0.4,0.44609,0.33792,1.86916,2.83568,1.8855,0.0094825,0.0094825,0.0094825
48,731.44,0.83002,0.66052,1.09791,0.88794,0.39333,0.44114,0.33222,1.86627,2.94159,1.71059,0.00947125,0.00947125,0.00947125
49,745.659,0.8074,0.70138,1.06231,0.88794,0.39333,0.44114,0.33222,1.86627,2.94159,1.71059,0.00946,0.00946,0.00946
50,760.513,0.70712,0.64995,1.05092,0.83523,0.39557,0.43278,0.33513,1.75474,2.84489,1.64968,0.00944875,0.00944875,0.00944875
51,774.823,0.69545,0.61475,1.0128,0.91279,0.39864,0.41369,0.3426,1.74249,2.7252,1.66098,0.0094375,0.0094375,0.0094375
52,789.048,0.82158,0.68335,1.04806,0.95555,0.39696,0.41375,0.30585,1.92498,2.73568,1.76611,0.00942625,0.00942625,0.00942625
53,803.294,0.73753,0.59556,0.97954,0.95555,0.39696,0.41375,0.30585,1.92498,2.73568,1.76611,0.009415,0.009415,0.009415
54,817.655,0.81487,0.66365,1.05141,0.81254,0.39411,0.448,0.34079,1.81193,2.62013,1.80239,0.00940375,0.00940375,0.00940375
55,832.115,0.68341,0.58901,0.96905,0.95294,0.3,0.42704,0.30296,1.65419,2.42438,1.75838,0.0093925,0.0093925,0.0093925
56,846.443,0.67466,0.64407,1.01327,0.59792,0.5,0.45475,0.3044,1.61174,2.33867,1.7001,0.00938125,0.00938125,0.00938125
57,861.069,0.71462,0.56676,1.03958,0.59792,0.5,0.45475,0.3044,1.61174,2.33867,1.7001,0.00937,0.00937,0.00937
58,875.389,0.81666,0.71883,1.07073,0.93857,0.4,0.48018,0.33642,1.77531,2.62745,1.90839,0.00935875,0.00935875,0.00935875
59,889.614,0.664,0.59288,0.98258,0.96154,0.39986,0.46941,0.32815,1.58686,2.44982,1.60142,0.0093475,0.0093475,0.0093475
60,904.059,0.77445,0.61904,1.01138,0.78905,0.45657,0.50578,0.34939,1.63838,2.57514,1.51764,0.00933625,0.00933625,0.00933625
61,918.493,0.8204,0.62428,1.07743,0.78905,0.45657,0.50578,0.34939,1.63838,2.57514,1.51764,0.009325,0.009325,0.009325
62,933.005,0.71596,0.56279,0.98922,0.87084,0.3,0.40643,0.27077,1.74521,2.71788,1.52464,0.00931375,0.00931375,0.00931375
63,947.521,0.75563,0.67567,1.05157,0.89913,0.3,0.38094,0.25657,1.5536,2.7256,1.44116,0.0093025,0.0093025,0.0093025
64,962.101,0.73801,0.5828,1.04361,0.91185,0.3,0.44586,0.32313,1.5123,2.58281,1.43723,0.00929125,0.00929125,0.00929125
65,976.484,0.9864,0.83867,1.09872,0.91185,0.3,0.44586,0.32313,1.5123,2.58281,1.43723,0.00928,0.00928,0.00928
66,990.845,0.78741,0.58887,1.0509,0.92326,0.3,0.49967,0.36069,1.64064,2.25199,1.5399,0.00926875,0.00926875,0.00926875
67,1005.27,0.69181,0.63595,0.99124,0.83361,0.3,0.48333,0.31695,1.72247,2.42893,1.63536,0.0092575,0.0092575,0.0092575
68,1019.8,0.82456,0.72066,1.12304,0.65746,0.3,0.45579,0.29773,1.70207,2.38269,1.64717,0.00924625,0.00924625,0.00924625
69,1034.18,0.68483,0.60017,1.00553,0.65746,0.3,0.45579,0.29773,1.70207,2.38269,1.64717,0.009235,0.009235,0.009235
70,1048.8,0.85083,0.71274,1.06873,0.6441,0.3926,0.45699,0.26894,1.88736,2.40362,1.70112,0.00922375,0.00922375,0.00922375
71,1063.52,0.77838,0.65131,1.00007,0.7285,0.47802,0.51107,0.32682,1.9468,2.21834,1.72448,0.0092125,0.0092125,0.0092125
72,1077.95,0.82323,0.69247,1.08588,0.92041,0.36759,0.53795,0.3585,1.92368,2.28447,1.6092,0.00920125,0.00920125,0.00920125
73,1092.74,0.71483,0.63136,1.05453,0.92041,0.36759,0.53795,0.3585,1.92368,2.28447,1.6092,0.00919,0.00919,0.00919
74,1107.44,0.69146,0.58328,1.00671,0.7118,0.45036,0.48889,0.29227,1.91878,2.18989,1.68066,0.00917875,0.00917875,0.00917875
75,1124.24,0.70805,0.55644,1.00613,0.8801,0.3,0.37979,0.27171,1.99182,2.13609,1.79609,0.0091675,0.0091675,0.0091675
76,1138.7,0.70522,0.55617,0.9888,0.64864,0.3,0.36275,0.23322,1.81489,2.39065,1.76345,0.00915625,0.00915625,0.00915625
77,1154.01,0.84371,0.66176,1.08632,0.64864,0.3,0.36275,0.23322,1.81489,2.39065,1.76345,0.009145,0.009145,0.009145
78,1168.69,0.68136,0.5637,0.98887,0.73582,0.3,0.41265,0.28575,2.11192,2.37844,1.872,0.00913375,0.00913375,0.00913375
79,1184.55,0.71228,0.52166,0.98245,0.56924,0.39349,0.43452,0.28061,2.24684,2.41549,2.02847,0.0091225,0.0091225,0.0091225
80,1199.37,0.71098,0.56736,0.9836,0.6482,0.39456,0.4668,0.27533,1.99616,2.27499,1.74159,0.00911125,0.00911125,0.00911125
81,1214.26,0.70807,0.59408,0.98044,0.6482,0.39456,0.4668,0.27533,1.99616,2.27499,1.74159,0.0091,0.0091,0.0091
82,1228.61,0.69438,0.64255,1.03497,0.58778,0.5,0.45394,0.31764,1.62412,2.35859,1.50508,0.00908875,0.00908875,0.00908875
83,1243.24,0.73563,0.57049,1.0054,0.70382,0.4,0.40934,0.23065,2.13826,2.49984,1.70988,0.0090775,0.0090775,0.0090775
84,1257.75,0.70987,0.56373,0.98359,0.58243,0.48121,0.41674,0.29228,2.00212,2.55571,1.93535,0.00906625,0.00906625,0.00906625
85,1273.06,0.75615,0.67119,0.98912,0.58243,0.48121,0.41674,0.29228,2.00212,2.55571,1.93535,0.009055,0.009055,0.009055
86,1288.03,0.69508,0.56388,0.98005,0.76717,0.49701,0.46445,0.32824,2.02026,2.31973,1.87415,0.00904375,0.00904375,0.00904375
87,1302.54,0.68709,0.54678,0.97783,0.81194,0.49023,0.49288,0.34416,1.78161,2.28576,1.73236,0.0090325,0.0090325,0.0090325
88,1317,0.703,0.59805,1.00102,0.68467,0.39698,0.47006,0.30256,2.01222,2.29874,1.74811,0.00902125,0.00902125,0.00902125
89,1331.38,0.71853,0.58316,1.0211,0.68467,0.39698,0.47006,0.30256,2.01222,2.29874,1.74811,0.00901,0.00901,0.00901
90,1345.61,0.69368,0.52725,0.99553,0.7552,0.39456,0.445,0.33362,1.65212,2.14683,1.73537,0.00899875,0.00899875,0.00899875
91,1359.91,0.62448,0.52905,0.93611,0.76691,0.39497,0.44666,0.28316,1.83278,2.21228,1.87593,0.0089875,0.0089875,0.0089875
92,1374.08,0.74369,0.70565,1.01051,0.92468,0.4,0.45704,0.29526,1.83273,2.07273,1.88508,0.00897625,0.00897625,0.00897625
93,1388.42,0.76409,0.63137,1.00841,0.92468,0.4,0.45704,0.29526,1.83273,2.07273,1.88508,0.008965,0.008965,0.008965
94,1402.89,0.65138,0.6043,0.95685,0.76622,0.38641,0.48248,0.29451,1.91007,2.309,1.82705,0.00895375,0.00895375,0.00895375
