epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6627,1.88978,7.28683,1.96879,0.00573,0.2,0.01649,0.00392,2.8209,7.1555,2.01821,0.0982,0.0002,0.0002
2,55.7665,2.24118,7.00046,2.36498,0.02906,0.1,0.02541,0.00628,2.68213,5.62956,1.95003,0.0954994,0.000499438,0.000499438
3,83.3858,2.11548,5.22202,2.07879,0.00253,0.4,0.02138,0.00792,2.4691,4.6241,1.9046,0.0927982,0.0007982,0.0007982
4,109.228,2.00512,3.87353,2.08177,0.00275,0.5,0.02171,0.01221,2.09921,4.17182,1.658,0.0900963,0.00109629,0.00109629
5,135.447,1.83519,3.61177,1.89461,0.64589,0.1,0.05261,0.02665,2.05891,3.95799,1.65082,0.0873937,0.0013937,0.0013937
6,162.84,1.92743,2.86015,1.86406,0.65027,0.1,0.04942,0.02925,1.90318,3.75957,1.56905,0.0846904,0.00169044,0.00169044
7,191.44,1.65416,2.60617,1.69683,0.01964,0.1,0.03036,0.00756,2.14127,4.0746,1.65471,0.0819865,0.0019865,0.0019865
8,244.283,1.60867,2.32955,1.65324,0.82234,0.1,0.11838,0.01529,2.18174,4.2814,1.68569,0.0792819,0.00228189,0.00228189
9,283.733,1.76225,2.31537,1.80028,0.36254,0.2,0.10689,0.02799,1.95224,4.06929,1.55058,0.0765766,0.0025766,0.0025766
10,323.347,1.60054,2.12885,1.64907,0.44395,0.2,0.16681,0.06836,1.86467,3.92088,1.51831,0.0738706,0.00287064,0.00287064
11,360.946,1.57745,1.9825,1.59696,0.56752,0.2,0.23612,0.06673,1.80189,3.48708,1.53996,0.071164,0.003164,0.003164
12,396.948,1.36305,1.95776,1.49722,0.24205,0.3037,0.26252,0.1442,1.79381,2.97947,1.54569,0.0684567,0.00345669,0.00345669
13,432.387,1.4789,1.76808,1.58995,0.29532,0.6,0.2702,0.15705,1.93118,3.09179,1.60004,0.0657487,0.0037487,0.0037487
14,465.563,1.28236,1.59246,1.43038,0.27997,0.59087,0.3112,0.15107,1.99295,3.25197,1.65521,0.06304,0.00404004,0.00404004
15,498.349,1.17178,1.26414,1.41956,0.39915,0.46579,0.3327,0.14562,2.02053,2.71803,1.74413,0.0603307,0.0043307,0.0043307
16,534.851,1.26965,1.34196,1.34213,0.38589,0.36811,0.34129,0.16484,1.93707,2.57041,1.61198,0.0576207,0.00462069,0.00462069
17,571.171,1.28888,1.17671,1.37859,0.34989,0.6,0.34427,0.14835,1.76116,2.90876,1.5274,0.05491,0.00491,0.00491
18,605.123,1.24448,1.18327,1.41499,0.65327,0.3,0.42553,0.23652,1.80167,2.52531,1.55756,0.0521986,0.00519864,0.00519864
19,639.162,1.03613,1.07304,1.23062,0.64084,0.6,0.49816,0.27354,1.85762,2.15472,1.6426,0.0494866,0.0054866,0.0054866
20,674.598,1.07709,1.18919,1.30451,0.52345,0.3,0.33309,0.17342,1.83598,2.52768,1.61641,0.0467739,0.00577389,0.00577389
