epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8913,3.14241,6.41664,3.15085,0.00122,0.2,0.00206,0.00066,2.4537,6.03136,2.16593,0.1,0,0
2,25.0649,3.02289,6.02621,3.14359,0.00218,0.36667,0.00285,0.00103,2.42221,5.92909,2.14473,0.0990998,9.9775e-05,9.9775e-05
3,37.3623,3.21275,6.54401,3.19433,0.00255,0.36667,0.00295,0.00107,2.41408,5.90436,2.13628,0.0981991,0.0001991,0.0001991
4,49.4411,3.10548,5.73934,3.47297,0.00297,0.36667,0.00319,0.00116,2.4129,5.77118,2.13527,0.097298,0.000297975,0.000297975
5,61.4916,2.70827,5.1069,2.96918,0.00398,0.36667,0.00357,0.00097,2.46027,5.69824,2.16392,0.0963964,0.0003964,0.0003964
6,73.2619,2.58553,5.39758,2.61116,0.00306,0.43333,0.0031,0.00118,2.46935,5.52446,2.15814,0.0954944,0.000494375,0.000494375
7,85.1185,2.74418,7.31381,2.62464,0.00331,0.43333,0.00334,0.00136,2.41617,5.45464,2.16265,0.0945919,0.0005919,0.0005919
8,97.0241,2.22988,5.44572,2.50309,0.00378,0.43333,0.0044,0.00163,2.3798,5.4229,2.1521,0.093689,0.000688975,0.000688975
9,108.999,2.45774,5.12617,2.77585,0.00395,0.43333,0.00525,0.00211,2.31316,5.41153,2.14205,0.0927856,0.0007856,0.0007856
10,121.229,2.23388,4.91676,2.63312,0.00391,0.43333,0.00534,0.00201,2.35852,5.28481,2.17184,0.0918818,0.000881775,0.000881775
11,133.798,1.97105,4.62316,2.2742,0.00467,0.43333,0.00557,0.00209,2.35531,5.20693,2.13767,0.0909775,0.0009775,0.0009775
12,146.047,2.11156,4.53346,2.36169,0.00416,0.43333,0.00553,0.00188,2.30462,5.19166,2.11071,0.0900728,0.00107278,0.00107278
