epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3666,1.77427,3.80102,1.84836,0.00136,0.2,0.00121,0.0005,2.38826,4.4059,1.81322,0.0982,0.0002,0.0002
2,25.7985,1.95743,3.87118,2.02918,0.00149,0.2,0.00142,0.00067,2.38294,4.38537,1.84509,0.0954994,0.000499438,0.000499438
3,37.5397,1.91961,3.91648,1.9245,0.00077,0.1,0.00072,0.00038,2.32968,4.42582,1.86714,0.0927982,0.0007982,0.0007982
4,49.4657,1.89773,3.93663,1.92048,0.00085,0.1,0.00409,0.00125,2.30847,4.35687,1.92152,0.0900963,0.00109629,0.00109629
5,60.6231,1.69688,3.74846,1.76759,0.00197,0.43333,0.0112,0.00374,2.23851,4.43273,1.95003,0.0873937,0.0013937,0.0013937
6,71.8921,1.6333,3.56455,1.70491,0.00199,0.43333,0.00365,0.00151,2.19759,4.47633,1.97501,0.0846904,0.00169044,0.00169044
7,83.0954,1.63364,3.71452,1.72748,0.00203,0.43333,0.00394,0.00169,2.1496,4.42835,1.86126,0.0819865,0.0019865,0.0019865
8,95.7422,1.6823,3.67266,1.77009,0.00202,0.43333,0.00393,0.0021,2.13489,4.52994,1.78351,0.0792819,0.00228189,0.00228189
9,108.493,1.48624,3.58017,1.58667,0.00201,0.43333,0.00478,0.00218,2.12935,4.36863,1.91145,0.0765766,0.0025766,0.0025766
10,120.823,1.43177,3.47103,1.53684,0.00197,0.43333,0.00263,0.00138,2.22311,4.44669,1.94975,0.0738706,0.00287064,0.00287064
11,132.263,1.35211,3.40857,1.45513,0.00195,0.43333,0.00251,0.00104,2.13272,4.4189,1.86225,0.071164,0.003164,0.003164
12,145.236,1.31541,3.41492,1.43598,0.00279,0.53333,0.00343,0.00159,2.14535,4.43337,1.85268,0.0684567,0.00345669,0.00345669
13,157.666,1.44049,3.5088,1.50901,0.00364,0.63333,0.011,0.00342,2.00011,4.36864,1.77938,0.0657487,0.0037487,0.0037487
14,169.284,1.55082,3.34104,1.51849,0.00363,0.63333,0.01382,0.00504,1.89748,4.32283,1.69677,0.06304,0.00404004,0.00404004
15,180.52,1.20914,3.2204,1.40333,0.00358,0.63333,0.02096,0.01085,2.18896,4.40564,1.75892,0.0603307,0.0043307,0.0043307
16,191.669,1.3311,3.12103,1.41304,0.00361,0.63333,0.02724,0.0157,2.09493,4.4097,1.79115,0.0576207,0.00462069,0.00462069
17,202.996,1.34589,3.06847,1.41222,0.00445,0.73333,0.03324,0.02296,2.21112,4.36058,1.69515,0.05491,0.00491,0.00491
18,214.235,1.34608,3.25727,1.42265,0.00381,0.63333,0.10079,0.0255,2.56469,4.5014,1.8972,0.0521986,0.00519864,0.00519864
19,225.508,1.33415,2.88349,1.41043,0.00339,0.46667,0.02677,0.01361,2.36844,4.40248,1.81232,0.0494866,0.0054866,0.0054866
20,237.947,1.18995,2.91552,1.42171,0.00385,0.63333,0.10067,0.0347,2.14227,4.32932,1.7948,0.0467739,0.00577389,0.00577389
21,250.88,1.29078,2.75998,1.44453,0.00392,0.63333,0.01923,0.00762,2.40763,4.46985,1.84053,0.0440605,0.0060605,0.0060605
22,264.318,1.18549,2.54661,1.37555,0.00338,0.46667,0.01052,0.00415,2.14001,4.35528,1.77034,0.0413464,0.00634644,0.00634644
23,277.948,1.1561,2.41434,1.27437,0.00465,0.73333,0.01919,0.0086,2.19233,4.28956,1.90917,0.0386317,0.0066317,0.0066317
24,291.57,1.26077,2.3549,1.33505,0.00295,0.53333,0.05288,0.02113,2.32297,4.24075,2.25522,0.0359163,0.00691629,0.00691629
25,306.509,1.26209,2.47061,1.32467,0.00203,0.2,0.05119,0.02545,2.47251,4.38108,2.40518,0.0332002,0.0072002,0.0072002
26,321.707,1.24595,2.17624,1.32468,0.00304,0.46667,0.10036,0.05953,2.12083,4.48071,1.83368,0.0304834,0.00748344,0.00748344
27,335.831,1.39889,2.36315,1.45421,0.00296,0.46667,0.02985,0.01453,2.13524,4.50733,1.80764,0.027766,0.007766,0.007766
28,349.897,1.24277,2.22782,1.28971,0.00282,0.53333,0.0345,0.02013,2.9923,5.0807,2.33028,0.0250479,0.00804789,0.00804789
29,363.943,1.36191,2.32608,1.38897,0.00282,0.53333,0.0345,0.02013,2.9923,5.0807,2.33028,0.0223291,0.0083291,0.0083291
30,377.634,1.22188,2.19589,1.24785,0.00494,0.9,0.01225,0.00493,2.09092,4.24553,1.80366,0.0196096,0.00860964,0.00860964
31,391.432,1.38204,2.13135,1.3615,0.00416,0.8,0.013,0.00591,2.35007,4.22107,1.95429,0.0168895,0.0088895,0.0088895
32,405.404,1.31643,2.19358,1.32029,0.00402,0.8,0.01756,0.00507,2.64233,4.33479,1.90635,0.0141687,0.00916869,0.00916869
33,419.251,1.27539,2.11065,1.38412,0.00402,0.8,0.01756,0.00507,2.64233,4.33479,1.90635,0.0114472,0.0094472,0.0094472
34,433.006,1.26962,2.0558,1.27381,0.00268,0.53333,0.01769,0.00488,2.80888,4.43001,2.07532,0.00962875,0.00962875,0.00962875
35,447.253,1.39096,2.05,1.34825,0.21944,0.2,0.13138,0.04694,2.30627,3.96839,1.8497,0.0096175,0.0096175,0.0096175
36,461.778,1.43634,2.07764,1.39522,0.19292,0.1315,0.11935,0.06898,2.10388,3.54453,1.89082,0.00960625,0.00960625,0.00960625
37,475.665,1.23043,2.05136,1.33582,0.19292,0.1315,0.11935,0.06898,2.10388,3.54453,1.89082,0.009595,0.009595,0.009595
38,489.285,1.26096,1.84903,1.28109,0.32887,0.2,0.18462,0.02873,2.7082,4.06352,2.12069,0.00958375,0.00958375,0.00958375
39,503.745,1.30673,2.05554,1.30015,0.08666,0.1,0.05516,0.01652,2.74794,3.90709,1.98889,0.0095725,0.0095725,0.0095725
40,517.94,1.29405,2.11821,1.2994,0.12765,0.2,0.18123,0.04996,2.47419,3.87562,2.1131,0.00956125,0.00956125,0.00956125
41,532.843,1.28358,1.91665,1.35566,0.12765,0.2,0.18123,0.04996,2.47419,3.87562,2.1131,0.00955,0.00955,0.00955
42,546.877,1.20872,1.96914,1.26449,0.11929,0.3,0.08342,0.0349,2.1074,4.07807,2.1035,0.00953875,0.00953875,0.00953875
43,561.974,1.32007,1.94845,1.36482,0.20006,0.2,0.17521,0.10335,1.97216,3.8008,1.8394,0.0095275,0.0095275,0.0095275
44,576.045,1.28176,2.15153,1.29879,0.20705,0.46667,0.17118,0.07614,1.93986,3.61936,2.12603,0.00951625,0.00951625,0.00951625
45,590.53,1.31037,1.88113,1.3729,0.20705,0.46667,0.17118,0.07614,1.93986,3.61936,2.12603,0.009505,0.009505,0.009505
46,606.205,1.25153,1.75533,1.27574,0.31653,0.2,0.21359,0.11711,1.92151,3.40052,2.02692,0.00949375,0.00949375,0.00949375
47,621.65,1.31022,1.86229,1.31661,0.69083,0.3,0.14337,0.08311,2.15681,3.75015,2.25929,0.0094825,0.0094825,0.0094825
48,636.494,1.23871,1.75277,1.28,0.19744,0.2,0.1779,0.06146,2.51867,3.73176,2.57955,0.00947125,0.00947125,0.00947125
49,650.607,1.24752,1.76614,1.29371,0.19744,0.2,0.1779,0.06146,2.51867,3.73176,2.57955,0.00946,0.00946,0.00946
50,665.168,1.32086,1.70939,1.32452,0.95429,0.1,0.10483,0.04084,2.69091,4.57986,2.55574,0.00944875,0.00944875,0.00944875
51,679.836,1.20862,1.68971,1.28845,0.15942,0.46667,0.19979,0.06488,2.3118,3.68516,2.14054,0.0094375,0.0094375,0.0094375
52,695.599,1.25014,1.63263,1.23018,0.28251,0.44896,0.31119,0.13342,2.3276,3.45893,2.01782,0.00942625,0.00942625,0.00942625
