epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.20825,1.88233,3.87673,2.13013,0.00136,0.2,0.00137,0.00056,2.39099,4.38889,1.78723,0.09109,9e-05,9e-05
2,13.6825,1.80106,3.76009,1.87457,0.00145,0.2,0.00148,0.00061,2.33512,4.38806,1.78966,0.0811898,0.000189765,0.000189765
3,20.0161,1.85016,4.09609,1.84718,0.0015,0.2,0.00153,0.00059,2.31653,4.34163,1.81369,0.0712893,0.000289282,0.000289282
4,26.0822,1.94849,4.16343,2.13541,0.00151,0.2,0.00464,0.00102,2.36515,4.34961,1.81624,0.0613886,0.000388552,0.000388552
5,32.1986,1.8923,3.914,1.94935,0.00147,0.2,0.00274,0.0011,2.35507,4.34712,1.84676,0.0514876,0.000487574,0.000487574
6,38.5053,1.7074,3.72338,1.85949,0.00076,0.1,0.00168,0.0008,2.3186,4.47811,1.86809,0.0415863,0.000586349,0.000586349
7,44.6468,1.85381,3.82671,1.97563,0.00076,0.1,0.00168,0.0008,2.3186,4.47811,1.86809,0.0316849,0.000684877,0.000684877
8,50.9704,1.95505,4.21305,1.94112,0.00074,0.1,0.0012,0.00049,2.24972,4.60129,1.84893,0.0217832,0.000783157,0.000783157
9,57.8426,1.77035,3.76375,1.94088,0.00072,0.1,0.00128,0.0007,2.20525,4.55357,1.85456,0.0118812,0.000881189,0.000881189
10,64.194,1.86744,3.88763,1.96039,0.00072,0.1,0.00128,0.0007,2.20525,4.55357,1.85456,0.00197897,0.000978974,0.000978974
11,70.5545,1.74218,4.07217,1.82241,0.00074,0.1,0.00145,0.0008,2.27502,4.41597,1.88451,0.000987625,0.000987625,0.000987625
12,77.2061,1.99051,4.52384,2.05555,0.00076,0.1,0.00139,0.00077,2.22107,4.40307,1.86817,0.000986387,0.000986387,0.000986387
13,83.4971,1.63187,3.78687,1.80609,0.00076,0.1,0.00139,0.00077,2.22107,4.40307,1.86817,0.00098515,0.00098515,0.00098515
14,89.5819,1.4154,3.55257,1.67817,0.00075,0.1,0.00096,0.00056,2.18367,4.42893,1.86639,0.000983912,0.000983912,0.000983912
15,95.9089,1.67566,3.81979,1.71368,0.00075,0.1,0.00083,0.00048,2.09959,4.44504,1.79978,0.000982675,0.000982675,0.000982675
16,102.192,1.73343,3.84899,1.83652,0.00075,0.1,0.00083,0.00048,2.09959,4.44504,1.79978,0.000981437,0.000981437,0.000981437
17,108.458,1.59242,3.7321,1.68852,0.00135,0.26667,0.00128,0.00063,2.04149,4.44751,1.77506,0.0009802,0.0009802,0.0009802
18,114.814,1.73318,3.8273,1.85897,0.00135,0.26667,0.00128,0.00063,2.04149,4.44751,1.77506,0.000978963,0.000978963,0.000978963
